ScanNo,SumSn,ratio_0,ratio_1,ratio_5,ratio_10,ratio_10,ratio_5,ratio_1,ratio_0
41463,742.04,0.015418,0.56378,3.0504,7.0335,5.9332,2.9206,0.46913,0.014006
30779,9.2232,0,0,0,0,0,0,0,0
30833,20.859,0,0,0,0,0,0,0,0
27895,714.7,0.0065298,0.63055,2.7126,7.314,5.8613,2.8573,0.61246,0.0053236
50225,387.65,0.010219,0.52229,2.7702,6.1313,6.8135,3.1867,0.55571,0.01007
52140,910.95,0.00089229,0.42041,2.5079,6.7471,5.9492,3.5029,0.83213,0.039464
52743,58.248,0.00044876,0.00012354,2.5415,7.3118,5.6618,3.4196,1.0645,0.00025285
53395,3.2948,0,0,0,0,0,0,0,0
29596,745.39,0.0067842,0.60047,2.9242,7.1762,5.5535,3.059,0.67447,0.0054062
32633,1209.3,0.015429,0.51323,3.1711,6.883,6.2099,2.7381,0.45518,0.014137
32693,0,0,0,0,0,0,0,0,0
30261,1452.1,0.015386,0.53657,2.9765,7.0328,5.8732,2.9713,0.58038,0.013864
13213,615.95,0.063962,1.4692,4.7561,6.2041,5.3647,1.9504,0.18912,0.0024878
17112,396.15,0.0064838,0.61737,2.7462,7.09,5.639,3.125,0.77044,0.0054843
24175,799.47,0.058664,0.57669,2.9827,7.0209,5.7356,2.9845,0.63877,0.002188
39932,40.998,0,0,0,0,0,0,0,0
19274,555.37,0.0065154,0.60572,2.6735,6.9232,5.8156,3.2843,0.68576,0.0054127
11229,278.78,0.69518,0.96785,2.0685,5.5471,5.1757,3.3719,1.2206,0.95319
8765,386.77,0.015359,0.59464,2.9158,6.9527,5.7309,3.2585,0.5182,0.013981
16699,1213.1,1.3855,1.1185,2.6731,4.9506,4.5992,2.8288,1.4088,1.0356
5254,409.66,0.79036,0.96857,2.8472,6.023,4.7577,3.001,0.97046,0.64168
41221,531.63,0.0028632,0.47549,2.9727,7.0852,5.9208,3.035,0.50584,0.0021606
9276,82.456,0.0045882,1.1247,3.2939,6.432,5.7555,3.3827,0.0017448,0.0047787
31130,82.356,0.0061508,0.94774,3.2209,7.8097,5.6141,2.3868,0.0047811,0.0097911
9967,127.92,0.015397,0.47327,2.7134,6.6379,6.4401,3.2849,0.42064,0.014398
8297,451.65,0.010574,0.44144,2.3434,7.1375,5.7951,3.5197,0.7445,0.0078242
8519,285.06,0.0008543,0.42762,2.9758,7.6001,5.6775,2.7499,0.56719,0.0010111
2130,3787,0.10926,1.2766,4.3648,6.652,4.982,2.2254,0.38795,0.0020324
2148,29.275,0,0,0,0,0,0,0,0
25953,0,0,0,0,0,0,0,0,0
34061,564.75,0.015653,0.46168,3.0334,6.8335,6.1353,3.1158,0.39048,0.01427
34833,24.299,0,0,0,0,0,0,0,0
14253,3218.1,0.0030752,0.59252,2.732,6.8766,5.9104,3.0943,0.66325,0.12787
6953,400.45,0.015304,0.56465,2.8141,6.6578,5.7918,3.5766,0.56556,0.014159
32892,381.49,0.0010303,0.53556,2.6337,6.3652,6.1224,3.6031,0.73704,0.0020752
18031,222.4,0.009956,0.406,2.179,5.7872,6.222,4.319,1.0714,0.005458
37064,0,0,0,0,0,0,0,0,0
38781,155.98,0.013898,0.012027,2.7676,7.7417,5.5405,3.21,0.70203,0.012184
15559,96.547,0.0032347,0.74795,2.1956,6.5665,5.8576,3.9044,0.7187,0.0059835
53490,209.07,0.0025034,0.80526,2.6095,7.2743,5.9939,2.7724,0.54016,0.0019374
50241,212.91,0.0068735,0.4964,3.1298,7.0107,6.0236,2.8744,0.45249,0.0057277
33125,12.835,0,0,0,0,0,0,0,0
36127,63.204,0.0015413,0.00045442,3.4182,6.0494,5.1863,3.5724,1.771,0.00079196
45269,169.95,0.0066669,0.42003,3.0549,6.9069,5.4933,3.434,0.6789,0.0052705
46110,0,0,0,0,0,0,0,0,0
