ScanNo,SumSn,ratio_0,ratio_1,ratio_5,ratio_10,ratio_10,ratio_5,ratio_1,ratio_0
14070,123.42,0.0097934,0.0028744,2.7083,6.9156,5.639,3.7714,0.94221,0.010728
14088,68.369,0.00048808,1.1384,2.6608,5.8027,3.954,3.7572,1.6012,1.0853
14101,202.63,0.17676,2.1392,2.8324,5.9312,5.1651,3.3395,0.41434,0.0014654
14135,476.97,0.1358,0.77623,3.7054,7.1658,5.1354,2.6099,0.47111,0.00030413
14156,76.625,0.0015511,0.001264,0.00035398,8.2205,7.7967,2.7681,1.2103,0.0012773
14168,798.57,0.066813,0.6145,2.9082,7.1087,6.002,2.7031,0.59071,0.0059063
14190,457.26,0.0067209,0.39286,2.7578,7.1486,6.0161,3.1874,0.48478,0.0057759
14237,703.93,0.060565,0.8211,3.2296,6.8825,5.4652,3.0776,0.46196,0.0014406
14288,590.93,0.41051,0.72492,2.6848,6.1438,5.7275,3.1079,0.8652,0.33541
14294,306.19,0.1712,0.50323,3.1304,6.9801,5.6391,2.9662,0.60787,0.0020006
14316,513.35,0.0053344,0.71411,3.1553,7.1605,5.9937,2.9636,0.0022366,0.0052729
14338,572.39,0.38256,0.81014,2.8355,6.3495,5.5559,2.8554,0.84984,0.36116
14385,381.56,0.015437,0.46536,2.9366,7.1864,5.6335,3.283,0.46555,0.014185
14392,592.7,0.0037627,0.56989,2.4556,6.6511,6.0201,3.5595,0.73384,0.0060903
14447,428.38,0.0066505,0.49036,2.7433,7.3654,6.0333,2.8674,0.48775,0.005728
14452,205.68,0.0048225,1.1771,3.3212,6.9278,5.1114,3.4512,0.0016427,0.0047928
14484,300.15,0.0064437,0.68305,2.728,7.105,5.417,3.2848,0.7705,0.0051771
14528,1093.8,0.056775,0.58044,2.9662,6.9803,5.935,2.9955,0.47069,0.015075
14536,61.581,0.0088717,0.0033228,2.2636,7.6966,6.9215,3.0898,0.0073987,0.0089762
14548,1356,0.0065969,0.52817,2.9496,7.0129,6.1338,2.8449,0.5181,0.0058724
14575,970.72,0.0030203,0.59902,2.8249,7.13,5.9412,2.92,0.57969,0.0021912
14597,118.97,0.0066034,0.48886,2.9338,6.599,6.2029,3.0162,0.74777,0.0049079
14668,70.088,0.010897,0.0092098,3.6678,6.168,6.1778,3.9499,0.0057726,0.010545
14724,1319.3,0.0030569,0.5268,3.0991,6.995,5.85,3.0027,0.52097,0.0023539
14794,266.01,0.006594,0.55918,2.8331,7.4322,5.9161,2.8189,0.42796,0.0059757
14812,286.46,0.011836,0.011203,3.0182,7.8479,6.6235,2.4679,0.0078978,0.011612
14858,367.77,0.0065451,0.63872,2.7542,7.4199,5.9375,2.7618,0.47557,0.005717
14891,325.22,0.0067844,0.65731,3.4429,6.4392,5.9274,2.9087,0.6123,0.0054449
14893,420.43,0.80585,0.94128,2.9348,5.9124,4.8635,2.8747,0.94061,0.72684
14928,451.75,0.015626,0.54281,3.1097,6.9729,5.6303,3.322,0.3924,0.014297
14966,670.97,0.0032109,0.62815,2.8341,7.008,5.8729,2.9223,0.63192,0.099396
14970,367.19,1.2627,1.202,2.0922,5.277,4.6383,3.2199,1.2802,1.0277
15001,478.21,0.27123,0.68749,2.8522,6.9108,5.7092,2.9709,0.49793,0.10017
15041,63.461,2.644,1.735,3.437,3.9981,2.7336,2.3826,3.0698,1.75E-05
1505,595.35,0.015492,0.57739,2.8824,7.2226,5.7303,3.0137,0.54372,0.014399
15060,252.08,0.21357,0.60551,2.3019,6.6394,5.9356,3.4344,0.86681,0.0028122
15072,322.04,1.1484,0.98874,2.5408,5.2409,4.7559,3.1455,1.1892,0.99058
15074,418.31,0.0065507,0.59339,3.014,6.846,5.686,3.2807,0.56782,0.0056276
15076,207.45,0.0013151,0.7677,2.6825,6.7318,5.7103,3.2943,0.60629,0.20575
15168,175.7,1.9709,1.9505,2.6323,4.3969,3.4322,2.2497,2.0138,1.3536
15204,1727.4,0.21788,0.60096,2.9052,6.7427,5.7459,2.8908,0.7191,0.17746
15233,1377.3,2.0165,1.3291,2.5722,4.0199,3.8053,2.7471,1.8028,1.7071
15239,816.3,0.041909,1.4533,4.8968,6.3507,4.7527,2.1588,0.33083,0.014949
15255,532.11,0.0030794,0.60721,3.0543,6.7516,5.6635,3.1138,0.70752,0.098859
15271,1507.9,0.0066154,0.52825,2.9521,7.1919,5.8348,2.9526,0.52812,0.0056357
15272,124.09,0.36516,0.65112,2.3422,7.339,5.5356,3.113,0.65201,0.0019442
15281,510.63,0.006612,0.51979,3.2271,7.0318,5.7995,2.8596,0.54984,0.0056677
15329,343.85,0.26658,0.67229,2.9962,6.8546,5.5497,2.9162,0.7425,0.0020364
15368,333.74,0.15067,0.57988,2.5008,6.7458,6.2001,3.0557,0.7663,0.00071913
15383,727.13,0.0029047,0.59516,3.2562,6.9004,5.7608,2.9864,0.49585,0.0022365
15387,1807.3,0.0029141,0.5248,3.1299,6.9881,5.8816,2.9139,0.55664,0.002211
15433,203.11,0.35589,0.60888,2.9921,6.4601,5.8584,2.9098,0.81448,0.00022131
15461,736.9,0.0065906,0.53785,2.6948,7.2303,6.0166,2.9901,0.51789,0.0058428
15504,275.2,0.0061579,0.0051932,3.4078,6.7993,6.0919,3.1568,0.52737,0.0054031
15559,595.66,0.0026808,0.52995,2.7628,6.9833,5.9407,3.2145,0.56403,0.002068
15598,388.82,0.89857,1.3096,2.3317,5.1082,4.7024,3.1981,1.454,0.99747
15622,220.25,0.0016641,0.2048,2.3294,6.0868,7.2761,3.5145,0.58409,0.0026741
15669,148.89,0.0065584,0.51917,2.6455,7.4065,5.7832,2.8345,0.79945,0.0051494
15729,553.82,0.0068237,0.57074,3.3274,6.9313,5.8928,2.7703,0.49477,0.0059026
15747,3205.1,0.2836,0.54072,2.1667,6.2164,5.9413,3.6062,0.93658,0.3084
15821,836.57,0.045774,0.44773,2.2754,6.8027,6.2573,3.2664,0.76237,0.14221
15867,445.32,0.0067264,0.37704,3.0552,7.1847,5.8885,2.988,0.49392,0.0058274
15983,287.41,0.011337,0.010022,2.6108,7.2087,6.4114,3.7301,0.0066537,0.011007
15998,323.19,0.011668,0.010274,2.6485,8.0843,6.5351,2.6911,0.0076998,0.011343
16000,1479.5,0.0065998,0.52138,2.8476,6.8898,6.2458,2.9863,0.49657,0.0059643
16009,429,0.0121,0.47539,2.4841,6.7264,6.2525,3.4375,0.59611,0.01583
16028,156.8,0.0024937,0.8222,2.812,6.9721,5.9197,2.9316,0.53804,0.0018512
16077,340.54,0.011487,0.0098634,3.1141,7.0023,6.3344,3.5094,0.0072695,0.011188
16141,279.84,0.0026701,0.53198,3.2023,7.0002,5.7995,2.8797,0.58174,0.0019043
16156,640.18,0.0026491,0.56885,2.7381,6.9884,5.9455,3.1802,0.57437,0.0019266
16172,318.57,0.006596,0.48565,2.9286,6.6841,5.7922,3.3458,0.75185,0.0051938
16187,1004.2,0.098073,0.62063,3.0276,6.971,5.7011,2.9868,0.59264,0.0022234
16194,430.53,3.0182,1.925,2.39,2.8884,2.4736,2.6441,2.3318,2.3288
